1,"FC(F)(F)C(=O)OC(=O)C(F)(F)F ",4.17
2,"FC(F)(Cl)C(=O)OC(=O)C(F)(F)Cl ",3.95
3,"FC(F)(F)C(F)(F)C(=O)OC(=O)C(F)(F)C(F)(F)F ",4.08
4,"CC1(C)CC(=O)OC1=O ",4.11
5,"O=C1OC(=O)C=C1 ",3.98
6,"CC1=CC(=O)OC1=O ",3.58
7,"CC1=C(C)C(=O)OC1=O ",3.48
8,"CCCCCC(=O)OC(=O)CCCCC ",3.65
9,"CC1CC(=O)OC1=O ",3.64
10,"O=C1OC(=O)c2cc(ccc12)C(=O)c1ccc2C(=O)OC(=O)c2c1 ",3.51
11,"O=C1OC(=O)c2cc(ccc12)N(=O)=O ",3.27
12,"Brc1ccc2C(=O)OC(=O)c3cccc1c23 ",3.63
13,"O=C1OC(=O)c2ccc3C(=O)OC(=O)c4ccc1c2c34 ",3.67
14,"Fc1c(F)c(F)c2C(=O)OC(=O)c2c1F ",3.83
15,"O=C1OC(=O)c2cc(cc3cccc1c23)N(=O)=O ",4.11
16,"Oc1cccc2C(=O)OC(=O)c12 ",3.97
17,"O=C1OC(=O)C2C3CCC(C=C3)C12 ",3.9
18,"Clc1ccc2NC(=O)OC(=O)c2c1 ",4.18
19,"O=C1OS(=O)(=O)c2ccccc12 ",3.88
20,"ClC1=C(Cl)C(=O)OC1=O ",3.84
21,"CC(=O)SC1CC(=O)OC1=O ",3.59
22,"Clc1cc2C(=O)OC(=O)c2cc1Cl ",4.12
23,"O=C1OC(=O)C2C3OC(C=C3)C12 ",3.82
24,"O=C1OC(=O)C2C3C=CC(C12)C1C3C(=O)OC1=O ",3.63
25,"O=C1OC(=O)C2CC=CCC12 ",3.89
26,"O=C1OC(=O)c2ccccc2-c2ccccc12 ",3.77
27,"O=C1OC(=O)c2ccc(c3cccc1c23)N(=O)=O ",3.93
28,"O=C1OC(=O)C2C1C1C2C(=O)OC1=O ",3.77
29,"CCCCCCCCCCCC(=O)OC(=O)CCCCCCCCCCC ",3.82
30,"OC(=O)c1ccc2C(=O)OC(=O)c2c1 ",3.55
31,"Cc1ccc2C(=O)OC(=O)c2c1 ",3.98
32,"O=C1OC(=O)c2c1cccc2N(=O)=O ",3.5
33,"O=C1Cc2ccccc2C(=O)O1 ",3.78
34,"O=C1CCCC(=O)O1 ",4.07
35,"O=C1CN(CCN2CC(=O)OC(=O)C2)CC(=O)O1 ",3.93
36,"O=C1Nc2ccccc2C(=O)O1 ",4.44
37,"CN1C(=O)OC(=O)c2ccccc12 ",3.36
38,"CC1CC(=O)OC(=O)C1 ",3.91
39,"O=C1OC(=O)C2=C1CCCC2 ",3.73
40,"CC(=O)OC1C(OC(C)=O)C(=O)OC1=O ",3.91
41,"Brc1c(Br)c(Br)c2C(=O)OC(=O)c2c1Br ",3.8
42,"O=C1OC(=O)C2CCCCC12 ",3.93
43,"O=C1OC(=O)C2=C1CCC2 ",3.69
44,"ICC(=O)OC(=O)CI ",3.42
45,"ClCC(=O)OC(=O)CCl ",3.63
46,"ClC1=C(Cl)C2(Cl)C3C(C(=O)OC3=O)C1(Cl)C2(Cl)Cl ",3.47
47,"CCCCCCCCCCCCCCCC(=O)OC(=O)CCCCCCCCCCCCCCC ",3.55
48,"Nc1ccc2C(=O)OC(=O)c3cccc1c23 ",3.64
49,"CCCCCCCCCC(=O)OC(=O)CCCCCCCCC ",4.03
50,"O=C1CC2(CCCC2)CC(=O)O1 ",4.06
51,"O=C1OC(=O)C2C3CCC(C3)C12 ",3.94
52,"O=C1OC(=O)c2cccc3cccc1c23 ",3.96
53,"O=C1CCC(C(=O)O1)c1ccccc1 ",4.02
54,"Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl ",3.83
55,"Clc1ccc(Cl)c2C(=O)OC(=O)c12 ",3.9
56,"CC1(C)CCC(=O)OC1=O ",3.94
57,"CCCCCN ",3.78
58,"CC(C)CC(C)N ",3.85
59,"NC1C(O)CC(CO)C(O)C1O ",3.36
60,"CCCCCCN ",3.75
61,"CC(C)(C)N ",3.86
62,"CC(C)CN ",3.72
63,"CC(C)(C)CN ",3.75
64,"CC(C)CCN ",3.83
65,"CCC(N)CC ",3.81
66,"CCC(C)(C)N ",4.07
67,"NCCN ",3.46
68,"CCCCCCCCCCCCCCCN ",4.06
69,"NCCCN ",3.49
70,"NCCCCN ",3.48
71,"NCCCCCCN ",3.62
72,"CCCCC(CC)CN ",3.95
73,"CCCCCCCCCCCCCCCCN ",3.97
74,"CCCCCC(C)N ",3.63
75,"CCCCCCCCCCCCCCN ",4.27
76,"NCCNCCN ",3.77
77,"NCC12CC3CC(CC(C3)C1)C2 ",2.84
78,"NCCc1ccc(O)c(O)c1 ",2.53
79,"NCCc1ccc(O)cc1 ",2.77
80,"NCCCNCCCCNCCN ",2.41
81,"NCCNCCCNCCN ",2.23
82,"NCCNCCNCCNCCNCCN ",2.54
83,"NC12CC3CC(CC1C3)C2 ",3.12
84,"NC1C2CC3CC(C2)CC1C3 ",3.18
85,"NCC(O)=O ",2.57
86,"COC(=O)C(N)Cc1ccccc1 ",3.39
87,"NC(CO)C(O)=O ",3.36
88,"CC(O)C(N)C(O)=O ",3.21
89,"NC(Cc1c[nH]c2ccccc12)C(O)=O ",3.19
90,"NC(Cc1ccc(O)cc1)C(O)=O ",3.07
91,"CC(C)C(N)C(O)=O ",3.27
92,"NCCCCC(N)C(O)=O ",3.25
93,"NC(C(O)=O)c1ccc(Cl)cc1 ",3.06
94,"CC(N)C(O)=O ",2.9
95,"NC(CCCNC(N)=N)C(O)=O ",3.15
96,"NC(CC(O)=O)C(O)=O ",3.29
97,"NC(CCC(N)=O)C(O)=O ",3.32
98,"NC(CCC(O)=O)C(O)=O ",3.4
99,"NC(Cc1c[nH]cn1)C(O)=O ",3.38
100,"CSCCC(N)C(O)=O ",3.23
101,"NC(Cc1ccccc1)C(O)=O ",3.29
102,"O=C1CCC(=O)O1 ",4.24
103,"CC(=O)OC(C)=O ",4.05
104,"C=C1CC(=O)OC1=O ",4.04
105,"O=C1COCC(=O)O1 ",3.99
106,"O=C1OC(=O)c2ccccc12 ",3.9
107,"OC(=O)CC1CC(=O)OC1=O ",4.03
108,"Fc1ccc(F)c2C(=O)OC(=O)c12 ",3.91
109,"OC(=O)CN(CCN1CC(=O)OC(=O)C1)CCN1CC(=O)OC(=O)C1 ",4.1
